name                                                                                                                             Base                                                                                                                             BaseCol                                                                                                                          Ref                                                                                                                              Refcol                                                                                                                          
-------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- -------------------------------------------------------------------------------------------------------------------------------- --------------------------------------------------------------------------------------------------------------------------------
FK_Checklist_Users                                                                                                               ChecklistResponses                                                                                                               FilledBy                                                                                                                         Users                                                                                                                            Id                                                                                                                              
FK_Licenses_Applicants                                                                                                           Licenses                                                                                                                         ApplicantId                                                                                                                      Applicants                                                                                                                       Id                                                                                                                              
FK_OtpVerifications_Applicants                                                                                                   OtpVerifications                                                                                                                 ApplicantId                                                                                                                      Applicants                                                                                                                       Id                                                                                                                              
FK_ApplicantProfiles_Applicants                                                                                                  ApplicantProfiles                                                                                                                ApplicantId                                                                                                                      Applicants                                                                                                                       Id                                                                                                                              
FK_Applications_Applicants                                                                                                       Applications                                                                                                                     ApplicantId                                                                                                                      Applicants                                                                                                                       Id                                                                                                                              
FK_Applications_Akcs                                                                                                             Applications                                                                                                                     AssignedAkcId                                                                                                                    Akcs                                                                                                                             Id                                                                                                                              
FK_Licenses_Applications                                                                                                         Licenses                                                                                                                         ApplicationId                                                                                                                    Applications                                                                                                                     Id                                                                                                                              
FK_AppDocuments_Applications                                                                                                     ApplicationDocuments                                                                                                             ApplicationId                                                                                                                    Applications                                                                                                                     Id                                                                                                                              
FK_Checklist_Applications                                                                                                        ChecklistResponses                                                                                                               ApplicationId                                                                                                                    Applications                                                                                                                     Id                                                                                                                              
FK_WorkflowActions_Applications                                                                                                  WorkflowActions                                                                                                                  ApplicationId                                                                                                                    Applications                                                                                                                     Id                                                                                                                              

(10 rows affected)
